,Latitude,Longitude,Name,X,Y
154,1.32851795368,103.834688254,MOUNT PLEASANT MRT STATION,28152.4308,34526.2823
155,1.30620190483,103.882528081,MOUNTBATTEN MRT STATION,33476.5634,32058.7418
156,1.30678307773,103.818967004,NAPIER MRT STATION,26402.8027,32122.9559
157,1.31232009956,103.8379853,NEWTON MRT STATION,28519.3616,32735.2072
158,1.29976683527,103.863637018,NICOLL HIGHWAY MRT STATION,31374.1708,31347.1516
159,1.32044079085,103.843825619,NOVENA MRT STATION,29169.3298,33633.1535
160,1.29975987859,103.787457508,ONE-NORTH MRT STATION,22896.0731,31346.4085
161,1.30242224794,103.823868523,ORCHARD BOULEVARD MRT STATION,26948.2945,31640.7552
162,1.30398101334,103.832241452,ORCHARD MRT STATION,27880.1256,31813.1135
163,1.27973970676,103.839513521,OUTRAM PARK MRT STATION,28689.4469,29132.6357
164,1.31644118839,103.882964034,OVERSEA-CHINESE BANKING CORPORATION LIMITED ALJUNIED MRT STATION,33525.0585,33190.9505
165,1.35089894174,103.848126363,OVERSEA-CHINESE BANKING CORPORATION LIMITED BISHAN MRT STATION,29647.9399,37001.0624
166,1.31994339212,103.861746337,OVERSEA-CHINESE BANKING CORPORATION LIMITED BOON KENG MRT STATION,31163.7296,33578.1693
167,1.33853090891,103.7059113,OVERSEA-CHINESE BANKING CORPORATION LIMITED BOON LAY MRT STATION,13820.9191,35633.8319
168,1.3489920354,103.749555824,OVERSEA-CHINESE BANKING CORPORATION LIMITED BUKIT BATOK MRT STATION,18678.1364,36790.3619
169,1.35866272161,103.751913321,OVERSEA-CHINESE BANKING CORPORATION LIMITED BUKIT GOMBAK MRT STATION,18940.5358,37859.6892
170,1.30726492996,103.790091155,OVERSEA-CHINESE BANKING CORPORATION LIMITED BUONA VISTA MRT STATION,23189.1888,32176.2735
171,1.28437623908,103.843494683,OVERSEA-CHINESE BANKING CORPORATION LIMITED CHINATOWN MRT STATION,29132.516,29645.3209
172,1.34224494825,103.732766602,OVERSEA-CHINESE BANKING CORPORATION LIMITED CHINESE GARDEN MRT STATION,16809.6501,36044.3731
173,1.38526363165,103.744383818,OVERSEA-CHINESE BANKING CORPORATION LIMITED CHOA CHU KANG MRT STATION,18102.6978,40801.1156
174,1.29298990728,103.852542631,OVERSEA-CHINESE BANKING CORPORATION LIMITED CITY HALL MRT STATION,30139.4704,30597.7817
175,1.30244743428,103.798294974,OVERSEA-CHINESE BANKING CORPORATION LIMITED COMMONWEALTH MRT STATION,24102.1904,31643.5653
